word,df,df_ratio,tf_avg,idf,tfidf_avg
polisi,1003,0.67,0.1092,1.4001,0.0732
lihat,208,0.1389,0.2086,2.9696,0.029
hukum,127,0.0848,0.2821,3.4599,0.0239
rakyat,119,0.0795,0.2905,3.5244,0.0231
percaya,99,0.0661,0.3332,3.7067,0.022
masyarakat,110,0.0735,0.2997,3.6024,0.022
kalau,120,0.0802,0.2721,3.5161,0.0218
adil,94,0.0628,0.3418,3.758,0.0215
takut,99,0.0661,0.3234,3.7067,0.0214
jadi,113,0.0755,0.2689,3.5757,0.0203
kasih,99,0.0661,0.304,3.7067,0.0201
kerja,101,0.0675,0.2904,3.6869,0.0196
terima,92,0.0615,0.3168,3.7793,0.0195
aman,98,0.0655,0.2885,3.7168,0.0189
tugas,105,0.0701,0.2628,3.6484,0.0184
jaga,98,0.0655,0.2717,3.7168,0.0178
lebih,100,0.0668,0.2631,3.6968,0.0176
baik,73,0.0488,0.3545,4.0078,0.0173
jalan,98,0.0655,0.2592,3.7168,0.017
bantu,99,0.0661,0.2534,3.7067,0.0168
lapor,85,0.0568,0.2866,3.8575,0.0163
rasa,82,0.0548,0.2977,3.893,0.0163
selalu,73,0.0488,0.3239,4.0078,0.0158
kasus,76,0.0508,0.307,3.9681,0.0156
pak,64,0.0428,0.3612,4.1375,0.0154
malah,79,0.0528,0.2834,3.9299,0.015
benar,68,0.0454,0.3272,4.0778,0.0149
jujur,59,0.0394,0.3776,4.2175,0.0149
kecewa,54,0.0361,0.3996,4.3046,0.0144
lalu,87,0.0581,0.2418,3.8345,0.0141
buat,69,0.0461,0.2996,4.0634,0.0138
makin,53,0.0354,0.3904,4.3229,0.0138
banyak,71,0.0474,0.2876,4.0352,0.0136
sama,61,0.0407,0.3134,4.1848,0.0128
kinerja,45,0.0301,0.3982,4.4832,0.012
bukan,60,0.0401,0.2985,4.201,0.012
tetap,55,0.0367,0.308,4.2865,0.0113
tegak,42,0.0281,0.3904,4.5507,0.011
lindung,43,0.0287,0.3839,4.5277,0.011
laku,49,0.0327,0.3373,4.3999,0.011
warga,61,0.0407,0.2676,4.1848,0.0109
sangat,59,0.0394,0.2719,4.2175,0.0107
cepat,52,0.0347,0.2994,4.3416,0.0104
tindak,44,0.0294,0.3488,4.5052,0.0103
terus,40,0.0267,0.3717,4.5983,0.0099
harap,35,0.0234,0.4175,4.7284,0.0098
bikin,42,0.0281,0.3429,4.5507,0.0096
layan,46,0.0307,0.3044,4.4617,0.0094
pernah,53,0.0354,0.2667,4.3229,0.0094
sering,50,0.0334,0.2815,4.3801,0.0094
semua,41,0.0274,0.3395,4.5742,0.0093
hilang,43,0.0287,0.3237,4.5277,0.0093
hadir,43,0.0287,0.3246,4.5277,0.0093
tangan,41,0.0274,0.3362,4.5742,0.0092
salah,41,0.0274,0.3375,4.5742,0.0092
lintas,50,0.0334,0.2557,4.3801,0.0085
beri,44,0.0294,0.2886,4.5052,0.0085
waktu,45,0.0301,0.2781,4.4832,0.0084
banget,36,0.024,0.3491,4.701,0.0084
atur,41,0.0274,0.3027,4.5742,0.0083
kali,38,0.0254,0.3283,4.6483,0.0083
malam,43,0.0287,0.2869,4.5277,0.0082
proses,39,0.0261,0.3148,4.623,0.0082
besar,38,0.0254,0.3229,4.6483,0.0082
patroli,41,0.0274,0.29,4.5742,0.0079
datang,41,0.0274,0.2864,4.5742,0.0078
cuma,38,0.0254,0.3069,4.6483,0.0078
kecil,32,0.0214,0.3502,4.8154,0.0075
yakin,24,0.016,0.4584,5.093,0.0073
butuh,27,0.018,0.3966,4.9797,0.0072
ikut,37,0.0247,0.291,4.6743,0.0072
dekat,35,0.0234,0.3097,4.7284,0.0072
jelas,34,0.0227,0.3118,4.7565,0.0071
hari,32,0.0214,0.3301,4.8154,0.0071
jahat,26,0.0174,0.4004,5.016,0.007
sedih,24,0.016,0.4385,5.093,0.007
pihak,26,0.0174,0.3961,5.016,0.0069
tertib,26,0.0174,0.3912,5.016,0.0068
hati,23,0.0154,0.4406,5.1338,0.0068
sendiri,32,0.0214,0.3167,4.8154,0.0068
harus,28,0.0187,0.3651,4.9446,0.0068
kadang,27,0.018,0.3738,4.9797,0.0067
jangan,26,0.0174,0.3837,5.016,0.0067
langsung,33,0.022,0.2983,4.7855,0.0066
beberapa,33,0.022,0.2937,4.7855,0.0065
urus,28,0.0187,0.3452,4.9446,0.0065
tak,22,0.0147,0.441,5.1764,0.0065
suai,26,0.0174,0.3751,5.016,0.0065
depan,29,0.0194,0.3366,4.9107,0.0065
aparat,25,0.0167,0.3813,5.0538,0.0064
korban,24,0.016,0.394,5.093,0.0063
orang,27,0.018,0.3455,4.9797,0.0062
aja,30,0.02,0.2959,4.8779,0.0059
sistem,23,0.0154,0.3847,5.1338,0.0059
pos,28,0.0187,0.3111,4.9446,0.0058
tenang,24,0.016,0.3572,5.093,0.0057
tegas,20,0.0134,0.4247,5.2674,0.0057
transparan,19,0.0127,0.4474,5.3162,0.0057
dapat,20,0.0134,0.4296,5.2674,0.0057
tingkat,22,0.0147,0.3808,5.1764,0.0056
lama,26,0.0174,0.3185,5.016,0.0055
moga,21,0.014,0.3912,5.2208,0.0055
nyata,21,0.014,0.3902,5.2208,0.0055
minta,26,0.0174,0.3166,5.016,0.0055
penting,21,0.014,0.3815,5.2208,0.0054
atas,21,0.014,0.3776,5.2208,0.0053
motor,26,0.0174,0.3049,5.016,0.0053
dukung,17,0.0114,0.4578,5.4215,0.0052
udah,25,0.0167,0.3116,5.0538,0.0052
biasa,24,0.016,0.3259,5.093,0.0052
acara,25,0.0167,0.3096,5.0538,0.0052
anak,24,0.016,0.3265,5.093,0.0052
diri,24,0.016,0.3238,5.093,0.0052
bukti,20,0.0134,0.3834,5.2674,0.0051
kendara,25,0.0167,0.306,5.0538,0.0051
lewat,24,0.016,0.31,5.093,0.005
profesional,19,0.0127,0.3951,5.3162,0.005
salut,19,0.0127,0.3892,5.3162,0.0049
kantor,25,0.0167,0.2952,5.0538,0.0049
senang,18,0.012,0.4083,5.3674,0.0049
lingkung,21,0.014,0.3511,5.2208,0.0049
mau,20,0.0134,0.357,5.2674,0.0048
bicara,19,0.0127,0.376,5.3162,0.0048
mungkin,24,0.016,0.3,5.093,0.0048
meski,21,0.014,0.3402,5.2208,0.0048
prosedur,20,0.0134,0.3598,5.2674,0.0048
bangga,16,0.0107,0.4504,5.4787,0.0048
punya,17,0.0114,0.4264,5.4215,0.0048
baru,19,0.0127,0.368,5.3162,0.0047
kalian,18,0.012,0.3935,5.3674,0.0047
masalah,18,0.012,0.3877,5.3674,0.0047
publik,16,0.0107,0.431,5.4787,0.0046
sulit,16,0.0107,0.43,5.4787,0.0046
desa,22,0.0147,0.3138,5.1764,0.0046
perlu,16,0.0107,0.4275,5.4787,0.0046
kota,22,0.0147,0.3146,5.1764,0.0046
ramah,20,0.0134,0.3376,5.2674,0.0045
apa,18,0.012,0.3732,5.3674,0.0045
sekolah,21,0.014,0.3191,5.2208,0.0045
giat,21,0.014,0.3227,5.2208,0.0045
padahal,22,0.0147,0.3024,5.1764,0.0044
tangkap,16,0.0107,0.412,5.4787,0.0044
selesai,18,0.012,0.3648,5.3674,0.0044
utama,16,0.0107,0.4044,5.4787,0.0043
mobil,19,0.0127,0.3349,5.3162,0.0043
sih,17,0.0114,0.3822,5.4215,0.0043
pantau,18,0.012,0.3459,5.3674,0.0042
berani,15,0.01,0.415,5.5393,0.0042
pagi,19,0.0127,0.3305,5.3162,0.0042
justru,15,0.01,0.415,5.5393,0.0042
masuk,17,0.0114,0.3589,5.4215,0.0041
diam,13,0.0087,0.4771,5.6728,0.0041
bawa,17,0.0114,0.3649,5.4215,0.0041
hormat,15,0.01,0.4096,5.5393,0.0041
mudik,17,0.0114,0.3553,5.4215,0.004
tempat,17,0.0114,0.3495,5.4215,0.004
sekarang,17,0.0114,0.347,5.4215,0.0039
keliling,18,0.012,0.3206,5.3674,0.0039
tiap,18,0.012,0.3247,5.3674,0.0039
biar,14,0.0094,0.402,5.6038,0.0038
milik,13,0.0087,0.4366,5.6728,0.0038
main,14,0.0094,0.4023,5.6038,0.0038
rumah,17,0.0114,0.3369,5.4215,0.0038
dulu,14,0.0094,0.4043,5.6038,0.0038
soal,19,0.0127,0.2989,5.3162,0.0038
ubah,11,0.0073,0.5046,5.827,0.0037
kayak,17,0.0114,0.3223,5.4215,0.0037
uang,15,0.01,0.3693,5.5393,0.0037
ujung,10,0.0067,0.5555,5.914,0.0037
jam,18,0.012,0.3104,5.3674,0.0037
henti,16,0.0107,0.3418,5.4787,0.0037
akhir,13,0.0087,0.4219,5.6728,0.0037
langgar,15,0.01,0.3619,5.5393,0.0036
viral,13,0.0087,0.4135,5.6728,0.0036
arah,15,0.01,0.3594,5.5393,0.0036
dengar,15,0.01,0.3554,5.5393,0.0036
polri,16,0.0107,0.3406,5.4787,0.0036
ngeri,12,0.008,0.4449,5.7469,0.0036
keras,12,0.008,0.4463,5.7469,0.0036
bapak,11,0.0073,0.4902,5.827,0.0036
lambat,15,0.01,0.3633,5.5393,0.0036
tanggap,15,0.01,0.3446,5.5393,0.0035
bagi,15,0.01,0.35,5.5393,0.0035
marah,12,0.008,0.4366,5.7469,0.0035
kuasa,11,0.0073,0.4702,5.827,0.0035
peduli,12,0.008,0.4343,5.7469,0.0035
jawab,11,0.0073,0.4734,5.827,0.0035
jauh,12,0.008,0.4189,5.7469,0.0034
siapa,12,0.008,0.4229,5.7469,0.0034
pinggir,13,0.0087,0.3915,5.6728,0.0034
razia,14,0.0094,0.3606,5.6038,0.0034
mana,11,0.0073,0.4534,5.827,0.0033
memang,12,0.008,0.4138,5.7469,0.0033
ada,12,0.008,0.4127,5.7469,0.0033
sedang,14,0.0094,0.3514,5.6038,0.0033
daerah,15,0.01,0.3322,5.5393,0.0033
lampu,13,0.0087,0.367,5.6728,0.0032
guna,12,0.008,0.4009,5.7469,0.0032
apresiasi,12,0.008,0.3945,5.7469,0.0032
oknum,12,0.008,0.3988,5.7469,0.0032
miris,11,0.0073,0.4333,5.827,0.0032
bersih,12,0.008,0.4029,5.7469,0.0032
sempat,15,0.01,0.3096,5.5393,0.0031
sigap,13,0.0087,0.3587,5.6728,0.0031
sim,14,0.0094,0.331,5.6038,0.0031
temu,12,0.008,0.3848,5.7469,0.0031
cukup,13,0.0087,0.3542,5.6728,0.0031
rutin,13,0.0087,0.3401,5.6728,0.003
satu,11,0.0073,0.4087,5.827,0.003
kena,12,0.008,0.3748,5.7469,0.003
mantap,9,0.006,0.5031,6.0093,0.003
bagaimana,10,0.0067,0.4534,5.914,0.003
pasar,12,0.008,0.3789,5.7469,0.003
tampak,12,0.008,0.3578,5.7469,0.0029
luar,12,0.008,0.356,5.7469,0.0029
tanya,12,0.008,0.3652,5.7469,0.0029
tanggung,9,0.006,0.4831,6.0093,0.0029
bangsa,9,0.006,0.4842,6.0093,0.0029
cari,10,0.0067,0.4367,5.914,0.0029
negeri,9,0.006,0.4784,6.0093,0.0029
pakai,13,0.0087,0.3393,5.6728,0.0029
wenang,10,0.0067,0.4408,5.914,0.0029
respons,12,0.008,0.366,5.7469,0.0029
integritas,9,0.006,0.4607,6.0093,0.0028
celaka,12,0.008,0.353,5.7469,0.0028
peran,9,0.006,0.4696,6.0093,0.0028
ramai,11,0.0073,0.3792,5.827,0.0028
damping,12,0.008,0.3545,5.7469,0.0028
aktif,12,0.008,0.3465,5.7469,0.0028
balik,10,0.0067,0.4152,5.914,0.0028
tidakadil,8,0.0053,0.5061,6.1147,0.0027
interaksi,10,0.0067,0.4035,5.914,0.0027
penuh,9,0.006,0.4491,6.0093,0.0027
tilang,13,0.0087,0.3157,5.6728,0.0027
kurang,11,0.0073,0.3677,5.827,0.0027
tambah,10,0.0067,0.398,5.914,0.0027
tengah,10,0.0067,0.4082,5.914,0.0027
damai,10,0.0067,0.3827,5.914,0.0026
awas,10,0.0067,0.3885,5.914,0.0026
cara,9,0.006,0.4249,6.0093,0.0026
sosial,12,0.008,0.3191,5.7469,0.0026
abai,8,0.0053,0.492,6.1147,0.0026
program,12,0.008,0.3222,5.7469,0.0026
seram,9,0.006,0.4384,6.0093,0.0026
bagus,11,0.0073,0.3557,5.827,0.0026
buruk,8,0.0053,0.4735,6.1147,0.0025
koordinasi,9,0.006,0.4207,6.0093,0.0025
tahun,10,0.0067,0.374,5.914,0.0025
alas,10,0.0067,0.3747,5.914,0.0025
indonesia,7,0.0047,0.533,6.2324,0.0025
responsif,8,0.0053,0.4626,6.1147,0.0025
citra,8,0.0053,0.4733,6.1147,0.0025
sakit,8,0.0053,0.4554,6.1147,0.0024
lawan,9,0.006,0.3977,6.0093,0.0024
sabar,11,0.0073,0.3259,5.827,0.0024
lanjut,9,0.006,0.3991,6.0093,0.0024
duduk,10,0.0067,0.3622,5.914,0.0024
janji,7,0.0047,0.5081,6.2324,0.0024
suatu,8,0.0053,0.4476,6.1147,0.0024
macet,11,0.0073,0.3313,5.827,0.0024
bawah,8,0.0053,0.4515,6.1147,0.0024
evakuasi,10,0.0067,0.3557,5.914,0.0024
jengkel,7,0.0047,0.5218,6.2324,0.0024
curi,9,0.006,0.3913,6.0093,0.0024
bebas,8,0.0053,0.4397,6.1147,0.0023
kuat,7,0.0047,0.4873,6.2324,0.0023
menarkoba,9,0.006,0.3891,6.0093,0.0023
sungguh,6,0.004,0.5667,6.366,0.0023
berat,7,0.0047,0.4818,6.2324,0.0023
cipta,7,0.0047,0.4948,6.2324,0.0023
pilih,8,0.0053,0.4352,6.1147,0.0023
anggap,9,0.006,0.3798,6.0093,0.0023
kampung,9,0.006,0.3862,6.0093,0.0023
gue,8,0.0053,0.4287,6.1147,0.0023
bagai,9,0.006,0.3902,6.0093,0.0023
harga,9,0.006,0.3852,6.0093,0.0023
edukasi,10,0.0067,0.3415,5.914,0.0023
semangat,8,0.0053,0.4132,6.1147,0.0022
susah,7,0.0047,0.468,6.2324,0.0022
positif,8,0.0053,0.4172,6.1147,0.0022
parkir,9,0.006,0.3729,6.0093,0.0022
gimana,8,0.0053,0.4113,6.1147,0.0022
dendam,6,0.004,0.5446,6.366,0.0022
benah,6,0.004,0.5203,6.366,0.0021
sangka,6,0.004,0.5148,6.366,0.0021
empat,8,0.0053,0.3929,6.1147,0.0021
patut,8,0.0053,0.4004,6.1147,0.0021
serius,8,0.0053,0.3891,6.1147,0.0021
banjir,8,0.0053,0.3966,6.1147,0.0021
tiba,7,0.0047,0.4445,6.2324,0.0021
suruh,9,0.006,0.3532,6.0093,0.0021
